text,label
deoooo nhaa thầy,1
hầu như các ca nhiễm bệnh toàn đi từ nước ngoài về nhỉ ??? lúc mọi người về có nghĩ đến an toàn của bản thân cũng như mọi người ko nhỉ?? hay não bị vi rút ăn hết cmnr,1
"""vl chịu""",0
bảo hiểm thì nước đ' nào chả phải nộp :v tai nạn ra ai thanh toán :v bóp cái tít cũng ngu :v,1
nhục mặt chửi nhau roi giờ chơi nhau chửi mướn đề con vk trả tien kaaaaaa,1
ý thức của chị còn thấp hơn cả điểm hoá của em,1
"""đúng là mấy bà đéo biết lonque nói cũng đéo hiểu lonque""",1
inoue kido photoshop,0
"""tui nay dang lua ca chinh phu neu dung cach chuc dam cong thuong giai the nganh dien nay luon di""",0
mặc kiểu này là tao cá ổng vừa ỉa xong . đéo thể khác được,1
uầy chơi gắt thế :)))),0
doanh nghiệp thì cũng là dân. nói chính xác là lấy đất của người này giao cho người khác . và quan chức được hưởng lợi từ chênh lệch giá đất cực khủng. đó chính xác là sự cướp bóc.,1
lo quá ạ,0
"""nguyễn thị kim dung gia dụng phòng khách""",0
